,q0,qa,label,qa_encode,q0_encode
193253,现在做什么生意最赚钱？,现在什么生意好做又赚钱,1,91956,182045
193254,最好用的看电视软件是什么软件,用什么软件看电视最好,1,221179,141282
193257,哪种减肥的产品比较好,减肥产品哪种比较好用,1,91468,245622
193258,如何让对方看不到我的微博,怎样让别人看不到自己的微博,1,6971,142432
193259,人生最痛苦是事情是什么？,人生最痛苦的事情是什么…,1,37178,197206
193260,求曲婉婷承认伴奏,求曲婉婷的承认的伴奏,1,141757,85483
193261,亲，这个您可以使用旺旺或者QQ截图后保存在桌面上，然后再发送给我的,您好，辛苦您截图后保存在桌面后通过我们对话窗口的上传图片发送给我下的,1,19295,68504
193262,如何能交到真心朋友？,怎样交真心朋友？,1,25918,213882
193263,怎样去掉照片日期,怎样把照片上日期去掉,1,164986,114931
193265,怎么才能学会拒绝别人,如何学会拒绝别人？,1,116910,121974
193266,求豆花《断裂的翅膀》完整版,求豆花版断裂的翅膀完整版,1,131558,207303
193267,高中生适合什么工作,什么工作适合高中生,1,33324,183050
193272,怎样改百度用户名,我想改百度用户名，怎么改,1,192151,69575
193273,北京有哪些旅游景点好玩,北京好玩的旅游景点,1,213145,216042
193276,破解版手机游戏下载网,手机游戏破解版下载,1,120158,218816
193278,红豆薏米粥减肥吗,红豆薏米汤减肥吗,1,66366,92622
193280,真的很抱歉的哦，给您添麻烦了,是的，真的很抱歉，给您添麻烦了,1,9614,217457
193283,谁能帮我做一张小说封面？,请帮我做一张小说封面,1,46826,49100
193284,像小的特殊符号怎么打,这些特殊符号怎么打？,1,71480,238076
193286,怎样看懂财务报表,如何看财务报表,1,144235,54466
193287,日语罗马音翻译,日文罗马音翻译,1,145483,187661
193293,求这张图的情侣头像男的,根据这张图找情侣头像,1,223732,62690
193295,怎么治疗拖延症,怎样治疗拖延症,1,167087,23942
193297,天天暴走哪里下载,天天暴走在哪里下载？,1,121627,118637
193298,什么古代言情小说好看,有什么好看的古代言情小说吗？,1,187332,49535
193299,动画片怎么下载到手机上?,怎么下载动画片至手机,1,124547,58006
193303,怎么宽带开钻,宽带怎么开钻,1,91977,139516
193304,圆脸女生适合什么发型图,圆脸女生适合什么发型，求图…,1,122687,37326
193305,卡丝面膜的怎么样，有哪个用了呢,卡丝面膜的怎么样效果,1,223880,146992
193310,送女生什么生日礼物,送女生什么生日礼物好？,1,75952,11084
193311,宫颈糜烂怎么治疗,怎么治疗宫颈糜烂,1,241982,69908
193313,狗狗电影有哪些,关于狗狗的电影有哪些,1,172815,238691
193314,三亚有哪些旅游景点？,三亚都有哪些旅游景点,1,5868,219115
193315,求一本重生都市类小说,找一本小说，是重生都市的！,1,186354,187851
193317,咽喉炎吃啥药好得快。,咽喉炎吃什么药好得快,1,228830,146271
193318,加湿器可以用自来水吗,加湿器里可以加自来水吗？,1,37958,214613
193326,丰胸产品什么效果最好,到底什么丰胸产品好,1,124615,16078
193327,眼睛如何消肿,如何眼睛消肿？,1,168469,199
193328,麦芽糖在哪里买？是怎样的？,麦芽糖哪里有卖,1,73073,164388
193329,为什么叫韩国人棒子,韩国人为什么叫棒子,1,234205,57650
193331,一路一带什么意思,一带一路是什么意思？,1,131611,179973
193333,轮滑鞋什么牌子好?,轮滑鞋什么牌子的好,1,211787,46680
193335,妻子的欲望流域风,流域风妻子的欲望,1,233797,49670
193336,谁有这张图片高清图,谁有这张图片的高清图,1,191998,224912
193339,男女平等吗？,你们说男女平等吗,1,223419,14215
193340,关于吸血鬼的校园小说,校园小说带点吸血鬼的那种,1,166130,199720
193342,鳄鱼为什么会流眼泪,为什么鳄鱼会流眼泪,1,36122,20850
193345,我想找个女朋友怎么办？,我想找个女朋友。,1,141906,31203
193346,没人理我！,怎么没人理我,1,240738,217670
193348,手机号就是支付宝账号吗,支付宝账号，是手机号嘛,1,234656,193370
193350,胃药饭前吃还是饭后吃,胃药是饭前吃还是饭后吃?,1,39484,76510
193352,肚子有肉怎么快速减掉,怎么快速减去肚子上的肉,1,75843,177222
193354,郭德纲最新相声,求郭德纲最新相声,1,121891,48272
193355,吃什么食物可以回奶,什么食物回奶,1,131649,10384
193357,笑点低笑点高什么意思？,笑点很低是什么意思,1,137726,204517
193361,微信怎么发表心情啊,微信怎么发表说说心情,1,201801,14356
193362,美的抽油烟机效果怎么样,美的的抽油烟机和灶具怎么样,1,31621,236844
193364,世界上什么水果最小？,世界上最小的水果是什么?,1,139489,45810
193366,女人吃什么水多,女人吃什么才水多,1,7797,88657
193367,要种子你明白的哦,种子大家明白的,1,66884,6207
193368,哪里卖二手车比较便宜的,哪里的二手车比较便宜,1,74031,146527
193369,最经典的超级玛丽哪里有下载,超级玛丽经典版在哪里下载,1,98830,229227
193372,哪个国家的苹果手机最便宜？,苹果哪个国家手机最便宜,1,5131,9920
193373,浙江和江苏哪个好,浙江和江苏相比哪个更好,1,97301,91150
193376,让我感动的一件事作文,写一件让我感动的事作文,1,101938,112503
193378,生活中有哪些轴对称图形,有哪些关于轴对称图形的网站,1,230224,74099
193381,为什么微信验证码收不到啊,微信更换手机绑定为什么收不到验证码,1,34077,79955
193382,关于眼睛的成语,关于眼睛小的成语,1,7078,230414
193383,这款卡地亚的手表是什么型号？,这卡地亚手表是什么型号？,1,62836,139366
193384,星座哪个最好,哪个星座最好,1,196949,4538
193385,关于北京租房问题,北京租房问题,1,77995,234778
193386,来自星星的你韩语怎么写,来自星星的你用韩语怎么写？,1,138254,41931
193387,北京哪家骨科医院好,北京那个骨科医院好,1,50719,167827
193389,元旦节应该送女朋友什么礼物,元旦节该送女朋友什么礼物,1,139444,225938
193392,大长脸适合什么发型啊,长脸适合什么发型,1,243650,202926
193396,重庆电脑城在哪个区,重庆电脑城在哪,1,110569,8012
193398,小米手机是国产的吗？怎么办呢？,小米手机是什么，是国产的嘛?,1,105033,43111
193399,好看的校园小说完结的！,好看的校园完结小说,1,192061,122304
193400,蚂蚁上树是什么,(蚂蚁上树)是什么菜？,1,137601,132531
193402,有什么可以看电影的软件。,用什么软件下电影,1,33913,7746
193404,这是个什么东西？谁知道,谁知道这个是什么东西啊,1,15101,154991
193406,下周股市会怎么样,下周股市会怎样走？,1,242880,244125
193408,微信营销怎么做,怎样微信营销,1,192760,10938
193409,为什么有网但是不能玩游戏,为什么WIFI可以上网但是为什么不能玩游戏,1,47752,139982
193410,这张图的亮点在哪儿,这张图亮点在哪,1,71653,55129
193412,关于打印机的问题！,关于打印机问题,1,44443,108820
193414,网易邮箱如何注销,网易通行证怎么注销？,1,187142,1842
193416,大学毕业档案问题★,大学毕业档案问题,1,71339,66022
193417,请问图片里的是什么动漫,请问该图片是什么动漫,1,206358,103988
193419,为什么2014年除夕不放假？,2014年除夕为什么不放假,1,95333,146342
193420,有什么免费看书的网站,下载什么网站看书免费,1,244295,141503
193426,香蕉牛奶能一起吃吗,香蕉能跟牛奶一起吃吗,1,14618,134558
193429,初一数学计算,初一数学计算题！,1,8610,192453
193430,这个是韩国网络红人吧？叫什么,这韩国网络红人女叫什么,1,206775,152633
193433,怎么让鼻孔变小啊？,怎么让鼻孔变小,1,2909,33450
193434,男生头发现在流行染什么颜色？,今年男生流行什么头发颜色,1,17882,204854
193436,淘宝网怎么注册,怎么注册淘宝网了啊,1,237834,23944
193437,手机导航软件哪个好,哪个手机导航软件好,1,218145,60955
193438,这什么品种狗？,这是个什么品种狗,1,55764,196169
193440,支付宝怎么登录,怎样登录支付宝,1,156519,79070
193441,摩尔庄园怎么获得龙蛋？给我个,摩尔庄园龙蛋怎么获得？,1,162768,166199
193443,哪个播放器能看谢文东第三季,谢文东第三季那个播放器可以看,1,157545,69757
193444,求剑灵灵族捏脸数据,求剑灵这个灵族女的捏脸数据图。,1,174261,162926
193446,网上交话费咋交,网上怎么交话费,1,128918,201582
193447,锄禾日当午，汗滴禾下土打一成语,汗滴禾下土锄禾日当午打一成语,1,49490,74885
193451,冷水浇头是什么生肖,什么生肖指冷水浇头,1,192628,163809
193452,小说封面制作图片,制作小说封面图片,1,81438,148623
193457,二战电影有哪些,关于二战的电影,1,30074,144008
193458,关于月亮，柳，酒的诗句,还有哪些关于月亮的诗句,1,39808,181912
193462,什么工作挣钱,做什么工作挣钱？,1,132640,1291
193463,有什么好吃的月饼呢？,什么牌子的月饼好吃呢,1,44997,190525
193468,彭丽媛的手机是什么牌子的,彭丽媛用的是什么牌子手机,1,156502,232908
193469,为什么奥特曼打怪兽,奥特曼为什么爱打怪兽,1,36396,194723
193470,高血压应该吃什么好,高血压人应该多吃什么,1,110759,154090
193476,全面整顿打一地名,全面整顿。(打一地名),1,85609,144571
193477,正三轮摩托车,三轮摩托车…,1,118552,197921
193481,正常的白带一个月会有几天,白带一个月来几天算正常,1,123455,58607
193482,我叫堂哥的儿子叫什么？,我叫堂哥的儿子什么,1,2918,204266
193483,有什么手工活可以带回家做,请问有什么手工活可以拿回家做,1,53247,45199
193486,什么软件可以看电视直播,看电视直播用什么软件好？,1,112043,76870
193487,如何下载安装包,怎样下载安装包？,1,79056,189625
193490,两个胖子抱在一起！打安徽一地名,两个胖子站在一起，打一省会城市？,1,109007,25666
193491,吃增高药会有副作用吗,增高药有副作用吗？,1,61742,88803
193492,东京食尸鬼为什么还不更新,为什么东京食尸鬼不更新了,1,190215,30804
193494,这盆花叫什么名字,这盆花的名字是什么,1,75829,80669
193497,去北京哪里看妇科最好？,北京哪里的妇科最好？,1,100216,142659
193499,单反相机买什么牌子比较好,请问单反相机买什么牌子的好,1,120371,126632
193503,搜狗输入法有问题,搜狗输入法问题！,1,62425,128542
193505,笔记本如何自己换硬盘,笔记本电脑如何换硬盘,1,53706,215383
193506,玫红色搭什么颜色好看,玫红色配什么颜色好看？,1,12656,21050
193507,母亲节什么时候到,什么时候是母亲节。,1,32183,101006
193510,新生儿枕头里装什么好,给刚出生的婴儿装枕头用什么好,1,127214,198330
193513,怎样消灭老鼠,如何消灭大老鼠,1,105517,146856
193516,世界上，真的有神仙吗？,这世界真的有神仙吗,1,242268,69739
193517,哪些明星被潜规则过,哪些明星被潜规则了,1,31328,112239
193521,中国和日本会打起来吗,中国和日本能打起来吗？,1,103298,30562
193522,什么牌子运动鞋好,运动鞋什么牌子的好，？,1,90363,68250
193525,怎么消除脸上的粉刺和黑头,怎么快速的去除脸上的粉刺黑头,1,31528,80802
193526,可以异地补办银行卡吗？,异地可以补办银行卡吗？,1,151237,166573
193528,爸爸去哪了怎么下载,如何下载爸爸去哪,1,216253,187435
193530,求个糗事百科的邀请码,求个糗事百科邀请码，要能用的,1,163485,44403
193531,韩磊我是歌手唱的什么歌,我是歌手，韩磊唱的什么歌,1,85788,221371
193532,这种围巾怎么织？,这种围巾怎么围，我是男的,1,137217,189819
193535,大家好我新来的多多关照,大家好。我新来的。请多多关照,1,60166,107958
193537,为什么英雄联盟美服打不开，,英雄联盟美服为什么打不开,1,107210,17296
193538,三原色是哪三种颜色？,三原色是指哪三种颜色,1,216293,58132
193539,怎么把空间打空格？,空间空格怎样打出来的，比如,1,9102,25054
193541,手机为什么打开数据连接不能上网,手机数据连接打开了为什么不能上网,1,175687,203378
193542,怎么有效去黑头,怎样有效去黑头~!,1,105758,34280
193544,谢娜张杰真的分手了吗？为什么？,谢娜和张杰真的分手了么,1,7550,242031
193547,去健身房怎么锻炼,怎么在健身房锻炼？,1,41883,238291
193548,成都最美的是哪里？,成都那里最美？,1,186419,187011
193549,掌上冲浪哪里下载,掌上冲浪在哪里下载？,1,230992,185416
193550,明星们都用什么手机,明星用的手机都是什么呀,1,92946,189274
193552,这个石头是什么石头？,这石头像啥石头,1,20880,111208
193553,怎样做读书小报,读书小报怎么写,1,211031,140177
193554,吃什么食物能降血压,哪些食物可以降血压,1,26259,188724
193555,吃什么壮阳,吃什么能壮阳,1,91602,69138
193556,女士手表那个牌子好,女士手表有哪些的牌子,1,41674,140538
193564,求吧头像原图。,求我头像原图,1,213073,204715
193567,关于爱情的测试题,要一些关于爱情的测试题,1,112006,53619
193569,同桌的你在哪里可以下载看,同桌的你哪里可以下载,1,60040,132700
193571,就是先添加邮箱登录名,可以添加邮箱作为登录名的,1,163341,242
193576,什么播放器可以看下水道美人鱼,下水道的美人鱼那个播放器可以看,1,139426,2213
193578,奇葩的意思是什么？,奇葩是什么意思？,1,77711,143926
193579,过年了卖点什么好卖呢,快过年了，卖点什么好啊,1,55887,225057
193582,天天酷跑炫飞模式怎么更新,天天酷跑炫飞模式芯片怎么升级,1,129444,216461
193588,你知道我在等你吗？,你知道我在想你吗？谢创,1,137994,219512
193589,帮我起个有内涵的网名。,帮我想个有内涵的网名,1,212798,130154
193591,空气净化器什么牌子好？,空气净化器买什么牌子的好,1,146885,5707
193593,哪里可以下载好看的小说啊？,好看的小说哪里下载,1,141433,36500
193594,最近有什么好歌听？,最近有什么好歌听啊？,1,72007,163665
193596,怎么用美国亚马逊买东西,怎样从美国亚马逊买东西,1,128151,50510
193598,郑州有什么好玩的地方？,郑州有什么好玩的地方吗？,1,105869,48502
193599,帮我找一张这样的情侣头像,谁能给我找一张和下面图片配对的情侣头像,1,235180,235183
193604,吴昕和李易峰什么关系,李易峰吴昕什么关系,1,224376,143261
193606,梦幻西游传下载网址,梦幻西游下载地址,1,146104,52794
193608,有天天酷跑外挂刷钻石,天天酷跑外挂刷钻石,1,171429,57640
193609,手机视频播放器哪个好用一些,手机视频播放器哪个好,1,122602,151848
193610,魔兽争霸有什么地图好玩的？,魔兽争霸有什么好玩的地图,1,182442,148870
193612,积分如何兑换话费,如何用积分兑换话费,1,154912,147094
193617,好听的女生笔名,好听的笔名，女生的,1,5612,211262
193618,美的的抽油烟机和灶具怎么样,想买美的的抽油烟机和灶台，不知道质量怎么样,1,92717,31621
193622,百度贴吧怎么改名字,百度怎么改名字,1,85118,61350
193627,怎样减少电脑对人的辐射,怎么减少电脑的辐射,1,205394,227273
193634,怎么下载世界地图,我的世界地图如何下载？,1,59397,198756
193635,关于爱学习语的一成语,关于关于爱学习的成语,1,104147,85296
193636,爸爸去哪儿怎么下载,怎样下载爸爸去哪儿？,1,62458,86403
193637,双胞胎电视剧,有关双胞胎的电视剧,1,75196,179653
193638,你们女人大夏天的戴胸罩不热吗？,你们女人大夏天戴胸罩不热吗？,1,28268,178999
193642,怎样可以让头发长快点，我是男的,怎样能让头发长快点,1,38933,167277
193648,怎样让小腿变瘦？,小腿怎样变瘦,1,50499,26055
193649,有谁知道好看的电影吗，,谁知道要什么好看的电影？,1,220008,17535
193651,湿疹如何治疗呢,湿疹该如何治疗,1,172961,569
193653,如何修复闪退,怎样修复闪退,1,10600,106864
193655,现在做什么行业赚钱,现在做什么行业赚钱多些,1,82445,77583
193658,这个配置能玩泰坦陨落吗？,我这配置能玩泰坦陨落吗？,1,86989,203707
193659,这个人体模特是谁,谁做过人体模特？,1,139911,3801
193663,做微商代理需要什么？,做微商代理需要注意什么,1,22505,25944
193666,婴儿背带，大家都买什么牌子的,什么牌子婴儿背带比较好,1,129134,229269
193667,网上有什么好的兼职工作？,有什么好的网上兼职的工作？,1,83726,18271
193668,如何下载自己淘宝的宝贝图片,如何将淘宝网上的宝贝图片下载下来,1,68046,112766
193669,问一首歌的歌词,一首歌的歌词！,1,198396,218104
193670,驾驶证怎么查分？,驾驶证怎么样查分,1,59876,18665
193672,最近有什么好看的电影和电视剧,最近有什么好看的电视剧或电影,1,204941,82291
193674,很抱歉给您带来不便了。请问您在手机端操作的还是电脑端操作的？,很抱歉给您带来不便了。请问您是在电脑端操作的还是手机端操作的、？,1,96295,115696
193676,怎么做才能让女人更爽,怎么让女人更爽一些,1,75337,216978
193681,什么牌子的卫生巾最安全,卫生巾什么牌子最安全最好,1,206535,70565
193684,安利的产品好吗,安利产品会吃死人吗,1,68218,140976
193687,最近有什么好看的韩国电影,最近韩国有什么好看电影,1,8522,21740
193688,今年世界杯的夺冠热门都有哪些球队？,世界杯夺冠热门球队有哪些,1,30331,150634
193689,您好，看下页面提示的,亲，页面会给您提示的,1,141378,186891
193690,求解这是什么动漫,这是什么动漫？求解，图在下。,1,214766,164984
193691,文爱是什么啊！,什么是文爱？,1,11910,42111
193695,爸爸去哪，歌词,爸爸去哪儿的歌词,1,144944,185519
193696,中文翻译英文。,把中文翻译成英文,1,124265,172639
193697,青春期如何让胸变大,青春期如何使胸变大,1,230606,39651
193698,请问这首歌叫什么吗？,请问这首歌叫什么,1,202095,182929
193699,什么是法兰呢？,什么叫法兰？,1,119896,18489
193703,这个的是可以的，但是逾期还是会有影响信用的建议您快还的,您好，这边是不建议您逾期的，会影响到您的信誉的,1,116232,67658
193704,奥迪、宝马、奔驰你选哪个？,奥迪宝马奔驰哪个好,1,4722,44520
193705,我的世界在哪里有铁矿？,我的世界铁矿在哪里挖,1,48377,199605
193707,苹果手机怎么解锁,苹果三手机怎么解锁,1,189182,216198
193708,您的这笔交易号提供下，辛苦您了。,麻烦您提供一下您说的交易的交易号。,1,143255,60392
193710,百度地图好还是高德地图好,高德地图好？还是百度地图好？,1,199309,100589
193714,什么浏览器最好、不慢不卡啊、、,什么浏览器最好用,1,14973,66692
193715,有什么僵尸的电影吗？好看的,有什么好看的僵尸电影,1,168090,200504
193718,和校花同居的日子电子书txt全集下载,与校花同居的日子电子书txt全集下载,1,104597,18280
193719,摆摊该卖什么,摆摊卖什么好卖,1,140310,28678
193720,蔷薇少女的图片,所有蔷薇少女图片,1,167857,219437
193721,屁股大怎么办，怎么减？,屁股大，怎么减啊,1,118844,56782
193723,有什么好看的关于校园的韩剧,有什么好看的韩剧关于校园的,1,189458,238207
193724,执行标准号查询,执行标准查询,1,102345,138478
193728,手机如何注册淘宝网,手机上如何才能注册淘宝网,1,139107,100989
193731,怎么设置手机彩铃？,如何设置手机彩铃,1,71244,70448
193732,这个麻烦您重新操作。,这个麻烦您重新操作一下的。,1,54723,141201
193735,您是否还有其他的认证账户的呢,您之前有没有其他的认证账户？,1,218746,109131
193738,麻将做记号怎么做,怎样在麻将上做记号？,1,128264,113002
193739,安卓手机哪个游戏好玩啊,安卓手机游戏哪个好玩,1,60634,222494
193741,吴亦凡现在在哪里呢？,吴亦凡现在在哪里？,1,22272,78864
193742,红色裤子配什么颜色衣服好看,红格子裤子配什么颜色衣服好看,1,69566,70272
193743,快速减肥的方法,快速减肥的方法有哪些,1,143168,159745
193744,什么冰箱好,什么牌冰箱好,1,117837,69754
193745,手机屏保怎么贴？,如何贴手机屏保,1,185120,104019
193746,活着的意义是什么？,人活着有什么意义,1,144982,18661
193747,风过无痕文集,风过无痕和桔桔文集,1,80619,100942
193749,二级建造师报名考试问题,关于二级建造师报名与考试的问题,1,24593,183819
193752,郑州做双眼皮那里做得较好啊,郑州割双眼皮哪里好,1,160272,152935
193755,世上无难事的下一句是什么,世上无难事。下一句是什么？,1,47188,160169
193758,第三者责任险怎么保,第三者责任险怎么赔？,1,130028,48918
193759,情人节送什么礼物给男朋友,情人节送什么礼物给男朋友呢,1,222565,23701
193760,中国一线城市有哪些,中国的一线城市,1,141498,160981
193761,鲜芦荟怎么吃,芦荟生的怎么吃？,1,107772,37701
193763,谁有好的电影？推荐几部吧,大家推荐一些好看的韩剧吧？,1,29898,21479
193764,慌忙反义词是什么？,慌忙的近反义词是什么？,1,15132,102060
193765,求一个成语(俗语),求一个成语或俗语,1,125281,104702
193767,这种发型叫什么？发尾往里弯？,这种发型叫什么？如图,1,47549,177967
193768,我该怎么称呼我妈妈的舅舅跟舅妈,我的儿子如何称呼我的舅舅，舅妈，舅爹,1,81115,23165
193769,大学什么时候放假？,大学放假到什么时候,1,86425,2679
193770,中通快递如何投诉，怎么也打不通,请问怎么投诉中通快递,1,6036,238329
193771,电脑怎么设闹钟,电脑怎样调闹钟,1,165376,172468
193773,我的世界大炮怎么造,我的世界怎么做大炮,1,76794,161182
193778,求《约会大作战》时崎狂三的本子,求约会大作战本子,1,70503,68392
193779,侠盗猎车手机版怎么打秘籍,手机侠盗猎车怎么调秘籍,1,131448,158903
193780,怎么织宝宝帽子,怎样织宝宝帽子,1,192710,59015
193781,这是哪个女明星？,这是哪个女明星啊？,1,137883,7869
193785,赛尔号和洛克王国,洛克王国和赛尔号,1,154113,96425
193786,为什么下载的游戏安装不了？,游戏下载完为什么安装不了呢,1,187798,37179
193790,苹果手机短信删除了怎么能恢复短信,苹果手机怎么恢复删掉的手机短信,1,30946,28734
193791,电影名是什么啊,这个电影名是什么？,1,149681,15483
193792,如何注销用手机号注册的淘宝账号,淘宝如何注销手机号码,1,32586,11855
193795,北京哪里看妇科最好？,北京哪里的妇科最好？,1,100216,205773
193796,请问家用跑步机哪个牌子好哦？,家用跑步机哪个牌子好,1,129129,29666
193797,吉林工程技术师范学院怎么样,吉林工程技术师范学院怎么样啊啊,1,54104,49997
193800,妹妹结婚，送什么礼物,亲妹妹结婚送什么礼物,1,28129,175224
193803,搜狗输入法有问题,我的搜狗输入法出问题了！,1,37080,128542
193806,有什么在家带孩子可以做的兼职么？,在家带孩子可以兼职做什么,1,129515,38897
193807,现在快递公司都已经放假了吗？,现在快递放假了吗？,1,245290,206314
193808,世界上最恶心的人是谁,世界上谁最恶心？,1,39758,196506
193810,高尔基的名言是什么,高尔基有什么名言？,1,242098,28941
193816,《笑红颜》插曲《寻花》,笑红颜的插曲,1,228225,132918
193818,这电脑配置能玩逆战吗？,我电脑配置能玩逆战么？,1,244201,79744
193824,求内衣办公室全集,求内衣办公室的全集！,1,92559,111622
193827,徐州有什么特产,徐州特产有啥,1,137853,40817
193831,指甲上没有月牙要吃什么,指甲上没有月牙吃什么,1,132882,211932
193834,第二季我是歌手的歌王是哪个？,我是歌手第二季的歌王是谁,1,28072,209208
193836,什么东西最好吃？,有什么东西好吃？,1,108924,124895
193838,这猫是什么品种？,这猫的品种,1,77917,117206
193841,怎么涂色？,这样的画要怎么涂色呢！？,1,134082,56252
193842,初三数学答案,初三数学书答案,1,168047,180320
193844,初一数学，要过程。,要过程初一数学,1,26739,114816
193845,陌陌好玩吗？,陌陌有那么好玩吗？,1,132993,219476
193846,喝什么去肝火,肝火旺喝什么好,1,97723,162481
193847,第一个给采纳,第一个。采纳,1,137011,139804
193849,谁能告诉我这个游戏是什么。,谁能告诉我这游戏是什么,1,127713,85530
193852,情侣头像求啊，高清的,求情侣头像高清的,1,30168,130696
193853,有什么丧尸片好看？,大家有什么好看的丧尸片么,1,42278,213872
193854,帮忙制作小说封面。,制作小说封面，帮忙啊！,1,190829,206677
193856,欧洲杯冠军预测,预测欧洲杯冠军,1,111721,143137
193860,找一本女主网游小说,找一本小说，女主网游的,1,114906,177682
193864,在惠州什么地方最好玩？,惠州什么地方最好玩？,1,178490,66682
193866,怎样有效去黑头~!,怎样去黑头有效,1,124764,105758
193869,交通事故什么时候做伤残鉴定,交通事故伤残鉴定什么时候做,1,195411,3512
193870,中国哪个城市最大,中国最大的城市是哪个？,1,106327,169952
193874,为什么平板电脑开不了机,平板电脑为什么开不了机？,1,14495,184340
193876,男士皮带什么牌子好呢,什么牌子的男士皮带好,1,85977,225295
193878,十全大补，指什么生肖？,十全大补。是什么生肖？,1,216793,76583
193879,这属于什么脸型！,我这是属于什么脸型？,1,102729,223950
193880,天猫怎么开店？,怎么在天猫开店？,1,48416,140418
193881,眼睛怎么消肿,如何给眼睛消肿？,1,31250,154322
193882,免费宝宝取名,免费给女宝宝取名,1,136844,226712
193885,有什么好听的舞曲？,什么舞曲好听,1,3916,56120
193886,支付宝实名认证问题,支付宝实名认证问题！急！,1,98487,98878
193890,好的，麻烦您了，很抱歉给您造成了困扰了。,麻烦您了呢亲，很抱歉给您带来了困扰了,1,135576,107447
193891,成都的天气怎么样,成都都是天气怎么样？,1,144239,175501
193894,谢谢你，亲爱的,谢谢，亲爱的,1,138977,15048
193895,怎么让牙齿变白？,牙齿怎么可以变白,1,128466,146214
193897,批发袜子哪里好,哪里有批发袜子的,1,113788,35129
193898,那里有财务软件免费下载,免费的财务软件哪里下载,1,71298,57080
193902,加湿器里加什么？,加湿器里加什么水,1,13640,206191
193906,什么时候能回家啊,什么时候可以回家啊？,1,226687,198834
193908,小学三年级的作文怎样写,小学三年级作文如何写人,1,48685,227551
193909,【眼睛肿了】怎么快速消肿,眼睛肿了，如何快速的消肿？,1,22231,81329
193911,求一张电脑桌面壁纸的图,求，电脑桌面壁纸一张！,1,31185,96644
193913,求一款关于三国的游戏,求一款三国游戏？,1,202130,58336
193914,没有通过的提示原因是什么呢,没有通过的原因都是提示您什么呢,1,197172,209448
193919,哪里可以下载周杰伦的新专辑？,周杰伦的新专辑哪里可以下载啊,1,13489,142900
193920,有什么爆笑的电影啊？,什么电影爆笑,1,13199,171188
193922,申诉回执编号是什么,什么是申诉回执编号,1,213299,6237
